country,years,songs,artists,places,points,qualification
Romania,2003,Don't Break My Heart,Nicola,10,73,
Romania,2002,Tell Me Why,Monica Anghel & Marcel Pavel,9,71,
Romania,2000,The Moon,Taxi,17,25,
Romania,1998,Eu Cred,Malina Olinescu,22,6,
Romania,1996,Rugă pentru pacea lumii,Monica Anghel & Sincron,Didn't qualify,,#29 in qualification
Romania,1994,Dincolo De Nori,Dan Bittman,21,14,
Romania,1993,Nu pleca,Dida Drăgan,Didn't qualify,,#7 in qualification
Netherlands,2023,–,Mia Nicolai & Dion Cooper,–,–,semi-final
Netherlands,2022,De Diepte,S10,11,171,#2 in semi-final 1
Netherlands,2021,Birth Of A New Age,Jeangu Macrooy,23,11,winner 2019
Netherlands,2020,Grow,Jeangu Macrooy,,,cancelled
Netherlands,2019,Arcade,Duncan Laurence,#1,498,#1 in semi-final 2
Netherlands,2018,Outlaw In 'Em,Waylon,18,121,#7 in semi-final 2
Netherlands,2017,Lights And Shadows,OG3NE,11,150,#4 in semi-final 2
Netherlands,2016,Slow Down,Douwe Bob,11,153,#5 in semi-final 1
Netherlands,2015,Walk Along,Trijntje Oosterhuis,Didn't qualify,,#14 in semi-final 1
Netherlands,2014,Calm After The Storm,The Common Linnets,2,238,#1 in semi-final 1
Netherlands,2013,Birds,Anouk,9,114,#6 in semi-final 1
Netherlands,2012,You And Me,Joan Franka,Didn't qualify,,#15 in semi-final 2
Netherlands,2011,Never Alone,3JS,Didn't qualify,,#19 in semi-final 2
Netherlands,2010,Ik Ben Verliefd (Sha-la-lie),Sieneke,Didn't qualify,,#14 in semi-final 2
Netherlands,2009,Shine,The Toppers,Didn't qualify,,#17 in semi-final 2
Netherlands,2008,Your Heart Belongs To Me,Hind,Didn't qualify,,#13 in semi-final 1
Netherlands,2007,On Top Of The World,Edsilia Rombley,Didn't qualify,,#21 in semi-final
Netherlands,2006,Amambanda,Treble,Didn't qualify,,#20 in semi-final
Netherlands,2005,My Impossible Dream,Glennis Grace,Didn't qualify,,#14 in semi-final
Netherlands,2004,Without You,Re-union,20,11,#6 in semi-final
Netherlands,2003,One More Night,Esther Hart,13,45,
Netherlands,2001,Out On My Own,Michelle,18,16,
Netherlands,2000,No Goodbyes,Linda Wagenmakers,13,40,
Netherlands,1999,One Good Reason,Marlayne,8,71,
Netherlands,1998,Hemel En Aarde,Edsilia Rombley,4,150,
Netherlands,1997,Niemand Heeft Nog Tijd,Mrs. Einstein,22,5,
Netherlands,1996,De Eerste Keer,Maxine & Franklin Brown,7,78,#9 in qualification
Netherlands,1994,Waar Is De Zon,Willeke Alberti,23,4,
Netherlands,1993,Vrede,Ruth Jacott,6,92,
Netherlands,1992,Wijs Me De Weg,Humphrey Campbell,9,67,
Netherlands,1990,Ik Wil Alles Met Je Delen,Maywood,15,25,
Netherlands,1989,Blijf Zoals Je Bent,Justine Pelmelay,15,45,
Netherlands,1988,Shangri-la,Gerard Joling,9,70,
Netherlands,1987,Rechtop In De Wind,Marcha,5,83,
Netherlands,1986,Alles Heeft Ritme,Frizzle Sizzle,13,40,
Netherlands,1984,Ik Hou Van Jou,Maribelle,13,34,
Netherlands,1983,Sing Me A Song,Bernadette,7,66,
Netherlands,1982,Jij En Ik,Bill van Dijk,16,8,
Netherlands,1981,Het Is Een Wonder,Linda Williams,9,51,
Netherlands,1980,Amsterdam,Maggie MacNeal,5,93,
Netherlands,1979,Colorado,Xandra,12,51,
Netherlands,1978,'t Is Ok,Harmony,13,37,
Netherlands,1977,De Mallemolen,Heddy Lester,12,35,
Netherlands,1976,The Party's Over Now,Sandra Reemer,9,56,
Netherlands,1975,Ding-A-Dong,Teach-In,#1,152,
Netherlands,1974,I See A Star,Mouth & MacNeal,3,15,
Netherlands,1973,De Oude Muzikant,Ben Cramer,14,69,
Netherlands,1972,Als Het Om De Liefde Gaat,Sandra & Andres,4,106,
Netherlands,1971,De Tijd,Saskia and Serge,6,85,
Netherlands,1970,Waterman,Patricia & Hearts of Soul,7,7,
Netherlands,1969,De Troubadour,Lenny Kuhr,#1,18,
Netherlands,1968,Morgen,Ronnie Tober,16,1,
Netherlands,1967,Ring-dinge,Thérèse Steinmetz,14,2,
Netherlands,1966,Fernando En Philippo,Milly Scott,15,2,
Netherlands,1965,Het Is Genoeg,Conny Van den bos,11,5,
Netherlands,1964,Jij Bent Mijn Leven,Anneke Grönloh,10,2,
Netherlands,1963,Een Speeldoos,Annie Palmen,13,0,
Netherlands,1962,Katinka,De Spelbrekers,13,0,
Netherlands,1961,Wat Een Dag,Greetje Kauffeld,10,6,
Netherlands,1960,Wat Een Geluk,Rudi Carrell,12,2,
Netherlands,1959,Een Beetje,Teddy Scholten,#1,21,
Netherlands,1958,Heel De Wereld,Corry Brokken,9,1,
Netherlands,1957,Net Als Toen,Corry Brokken,#1,31,
Netherlands,1956,De Vogels Van Holland,Jetty Paerl,2,–,
Netherlands,1956,Voorgoed Voorbij,Corry Brokken,2,–,
Russia,2021,Russian Woman,Manizha,9,204,#3 in semi-final 1
Russia,2020,Uno,Little Big,,,cancelled
Russia,2019,Scream,Sergey Lazarev,3,370,#6 in semi-final 2
Russia,2018,I Won't Break,Julia Samoylova,Didn't qualify,,#15 in semi-final 2
Russia,2016,You Are the Only One,Sergey Lazarev,3,491,#1 in semi-final 1
Russia,2015,A Million Voices,Polina Gagarina,2,303,#1 in semi-final 1
Russia,2014,Shine,Tolmachevy Sisters,7,89,#6 in semi-final 1
Russia,2013,What If,Dina Garipova,5,174,#2 in semi-final 1
Russia,2012,Party For Everybody,Buranovskiye Babushki,2,259,#1 in semi-final 1
Russia,2011,Get You,Alexej Vorobjov,16,77,#9 in semi-final 1
Russia,2010,Lost And Forgotten,Peter Nalitch & Friends,11,90,#7 in semi-final 1
Russia,2009,Mamo,Anastasia Prikhodko,11,91,winner 2008
Russia,2008,Believe,Dima Bilan,#1,272,#3 in semi-final 1
Russia,2007,Song # 1,Serebro,3,207,Top-10 2006
Russia,2006,Never Let You Go,Dima Bilan,2,248,#3 in semi-final
Russia,2005,Nobody Hurt No One,Natalia Podolskaya,15,57,Top-10 2004
Russia,2004,Believe Me,Julia Savicheva,11,67,Top-10 2003
Russia,2003,"Ne Ver', Ne Boisia",t.A.T.u.,3,164,
Russia,2002,Northern Girl,Prime minister,10,55,
Russia,2001,Lady Alpine Blue,Mumiy troll,12,37,
Russia,2000,Solo,Alsou,2,155,
Russia,1997,Primadonna,Alla Pugachova,15,33,
Russia,1996,Ya eto ya,Andrey Kosinskiy,Didn't qualify,,#26 in qualification
Russia,1995,Kolybelnaya Dlya Vulkana,Philipp Kirkorov,17,17,
Russia,1994,Vechni Stranik,Youddiph,9,70,
Poland,2023,–,,–,–,semi-final
Poland,2022,River,Ochman,12,151,#6 in semi-final 2
Poland,2021,The Ride,Rafał,Didn't qualify,,#14 in semi-final 2
Poland,2020,Empires,Alicja,,,cancelled
Poland,2019,Pali się,Tulia,Didn't qualify,,#11 in semi-final 1
Poland,2018,Light Me Up,Gromee feat. Lukas Meijer,Didn't qualify,,#14 in semi-final 2
Poland,2017,Flashlight,Kasia Moś,22,64,#9 in semi-final 1
Poland,2016,Color of Your Life,Michał Szpak,8,229,#6 in semi-final 2
Poland,2015,In The Name Of Love,Monika Kuszyńska,23,10,#8 in semi-final 2
Poland,2014,My Słowianie - We Are Slavic,Donatan & Cleo,14,62,#8 in semi-final 2
Poland,2011,Jestem,Magdalena Tul,Didn't qualify,,#19 in semi-final 1
Poland,2010,Legenda,Marcin Mroziński,Didn't qualify,,#13 in semi-final 1
Poland,2009,I Don't Wanna Leave,Lidia Kopania,Didn't qualify,,#12 in semi-final 2
Poland,2008,For Life,Isis Gee,24,14,#10 in semi-final 1
Poland,2007,Time To Party,The Jet Set,Didn't qualify,,#14 in semi-final
Poland,2006,Follow My Heart,Ich Troje,Didn't qualify,,#11 in semi-final
Poland,2005,Czarna Dziewczyna,Ivan & Delfin,Didn't qualify,,#11 in semi-final
Poland,2004,Love Song,Blue Cafe,17,27,Top-10 2003
Poland,2003,Keine Grenzen - Zadnych Granic,Ich Troje,7,90,
Poland,2001,2 Long,Piasek,20,11,
Poland,1999,Przytul Mnie Mocno,Mietek Szczesniak,18,17,
Poland,1998,To Takie Proste,Sixteen,17,19,
Poland,1997,Ale Jestem,Anna Maria Jopek,11,54,
Poland,1996,Chce Znac Swój Grzech,Kasia Kowalska,15,31,#15 in qualification
Poland,1995,Sama,Justyna,18,15,
Poland,1994,To Nie Ja!,Edyta Górniak,2,166,
North Macedonia,2022,Circles,Andrea,Didn't qualify,,#11 in semi-final 2
North Macedonia,2021,Here I Stand,Vasil,Didn't qualify,,#15 in semi-final 1
North Macedonia,2020,You,Vasil,,,cancelled
North Macedonia,2019,Proud,Tamara Todevska,7,305,#2 in semi-final 2
North Macedonia,2018,Lost And Found,Eye Cue,Didn't qualify,,#18 in semi-final 1
North Macedonia,2017,Dance Alone,Jana Burčeska,Didn't qualify,,#15 in semi-final 2
North Macedonia,2016,Dona,Kaliopi,Didn't qualify,,#11 in semi-final 2
North Macedonia,2015,Autumn Leaves,Daniel Kajmakoski,Didn't qualify,,#15 in semi-final 1
North Macedonia,2014,To the Sky,Tijana,Didn't qualify,,#13 in semi-final 2
North Macedonia,2013,Pred Da Se Razdeni,Esma & Lozano,Didn't qualify,,#16 in semi-final 2
North Macedonia,2012,Crno I Belo,Kaliopi,13,71,#9 in semi-final 2
North Macedonia,2011,Rusinka,Vlatko Ilievski,Didn't qualify,,#16 in semi-final 2
North Macedonia,2010,Jas Ja Imam Silata,Gjoko Taneski,Didn't qualify,,#15 in semi-final 1
North Macedonia,2009,Neshto Shto Ke Ostane,Next Time,Didn't qualify,,#10 in semi-final 1
North Macedonia,2008,Let Me Love You,"Tamara, Vrčak & Adrijan",Didn't qualify,,#10 in semi-final 2
North Macedonia,2007,Mojot Svet,Karolina,14,73,#9 in semi-final
North Macedonia,2006,Ninanajna,Elena Risteska,12,56,#10 in semi-final
North Macedonia,2005,Make My Day,Martin Vucic,17,52,#9 in semi-final
North Macedonia,2004,Life,Tose Proeski,14,47,#10 in semi-final
North Macedonia,2002,Od Nas Zavisi,Karolina,19,25,
North Macedonia,2000,100% Te Ljubam,XXL,15,29,
North Macedonia,1998,"Ne Zori, Zoro",Vlado Janevski,19,16,
North Macedonia,1996,Samo ti,Kaliopi,Didn't qualify,,#26 in qualification
Portugal,2023,–,,–,–,semi-final
Portugal,2022,"Saudade, saudade",Maro,9,207,#4 in semi-final 1
Portugal,2021,Love Is On My Side,The Black Mamba,12,153,#4 in semi-final 2
Portugal,2020,Medo de sentir,Elisa,,,cancelled
Portugal,2019,Telemóveis,Conan Osíris,Didn't qualify,,#15 in semi-final 1
Portugal,2018,O Jardim,Cláudia Pascoal,26,39,winner 2017
Portugal,2017,Amar Pelos Dois,Salvador Sobral,#1,758,#1 in semi-final 1
Portugal,2015,Há um mar que nos Separa,Leonor Andrade,Didn't qualify,,#14 in semi-final 2
Portugal,2014,Quero Ser Tua,Suzy,Didn't qualify,,#11 in semi-final 1
Portugal,2012,Vida Minha,Filipa Sousa,Didn't qualify,,#13 in semi-final 2
Portugal,2011,Luta É Alegria,Homens Da Luta,Didn't qualify,,#18 in semi-final 1
Portugal,2010,Há Dias Assim,Filipa Azevedo,18,43,#4 in semi-final 1
Portugal,2009,Todas As Ruas Do Amor,Flor-de-lis,15,57,#8 in semi-final 1
Portugal,2008,Senhora Do Mar (Negras Águas),Vânia Fernandes,13,69,#2 in semi-final 2
Portugal,2007,Dança Comigo (vem Ser Feliz),Sabrina,Didn't qualify,,#11 in semi-final
Portugal,2006,Coisas De Nada,Nonstop,Didn't qualify,,#19 in semi-final
Portugal,2005,Amar,2B,Didn't qualify,,#17 in semi-final
Portugal,2004,Foi Magia,Sofia,Didn't qualify,,#15 in semi-final
Portugal,2003,Deixa-me Sonhar,Rita Guerra,22,13,
Portugal,2001,Só Sei Ser Feliz Assim,MTM,17,18,
Portugal,1999,Como Tudo Começou,Rui Bandeira,21,12,
Portugal,1998,Se Eu Te Pudesse Abraçar,Alma Lusa,12,36,
Portugal,1997,Antes Do Adeus,Célia Lawson,24,0,
Portugal,1996,O Meu Coração Não Tem Cor,Lúcia Moniz,6,92,#18 in qualification
Portugal,1995,Baunilha E Chocolate,Tó Cruz,21,5,
Portugal,1994,Chamar A Música,Sara Tavares,8,73,
Portugal,1993,A Cidade Até Ser Dia,Anabela,10,60,
Portugal,1992,Amor D'água Fresca,Diná,17,26,
Portugal,1991,Lusitana Paixão,Dulce,8,62,
Portugal,1990,Há Sempre Alguém,Nucha,20,9,
Portugal,1989,Conquistador,Da Vinci,16,39,
Portugal,1988,Voltarei,Dora,18,5,
Portugal,1987,Neste Barco à Vela,Nevada,18,15,
Portugal,1986,Não Sejas Mau Para Mim,Dora,14,28,
Portugal,1985,"Penso Em Ti, Eu Sei",Adelaïde,18,9,
Portugal,1984,Silêncio E Tanta Gente,Maria Guinot,11,38,
Portugal,1983,Esta Balada Que Te Dou,Armando Gama,13,33,
Portugal,1982,Bem-bom,Doce,13,32,
Portugal,1981,Play-back,Carlos Paião,18,9,
Portugal,1980,"Um Grande, Grande Amor",José Cid,7,71,
Portugal,1979,"Sobe, Sobe, Balão Sobe",Manuela Bravo,9,64,
Portugal,1978,Dai-li-dou,Gemini,17,5,
Portugal,1977,Portugal No Coração,Os Amigos,14,18,
Portugal,1976,Uma Flor De Verde Pinho,Carlos do Carmo,12,24,
Portugal,1975,Madrugada,Duarte Mendes,16,16,
Portugal,1974,E Depois Do Adeus,Paulo de Carvalho,14,3,
Portugal,1973,Tourada,Fernando Tordo,10,80,
Portugal,1972,A Festa Da Vida,Carlos Mendes,7,90,
Portugal,1971,Menina Do Alto Da Serra,Tonicha,9,83,
Portugal,1969,Desfolhada Portuguesa,Simone de Oliveira,15,4,
Portugal,1968,Verão,Carlos Mendes,11,5,
Portugal,1967,O Vento Mudou,Eduardo Nascimento,12,3,
Portugal,1966,Ele E Ela,Madalena Iglesias,13,6,
Portugal,1965,Sol De Inverno,Simone de Oliveira,13,1,
Portugal,1964,Oração,António Calvário,13,0,
San Marino,2023,–,,–,–,semi-final
San Marino,2022,Stripper,Achille Lauro,Didn't qualify,,#14 in semi-final 2
San Marino,2021,Adrenalina,Senhit feat. Flo Rida,22,50,#9 in semi-final 2
San Marino,2020,Freaky!,Senhit,,,cancelled
San Marino,2019,Say Na Na Na,Serhat,19,77,#8 in semi-final 1
San Marino,2018,Who We Are,Jessika feat. Jenifer Brening,Didn't qualify,,#17 in semi-final 2
San Marino,2017,Spirit Of The Night,Valentina Monetta & Jimmie Wilson,Didn't qualify,,#18 in semi-final 2
San Marino,2016,I Didn't Know,Serhat,Didn't qualify,,#12 in semi-final 1
San Marino,2015,Chain Of Lights,Michele Perniola & Anita Simoncini,Didn't qualify,,#16 in semi-final 2
San Marino,2014,Maybe (Forse),Valentina Monetta,24,14,#10 in semi-final 1
San Marino,2013,Crisalide (Vola),Valentina Monetta,Didn't qualify,,#11 in semi-final 2
San Marino,2012,The Social Network Song (Oh Oh – Uh - Oh Oh),Valentina Monetta,Didn't qualify,,#14 in semi-final 1
San Marino,2011,Stand By,Senit,Didn't qualify,,#16 in semi-final 1
San Marino,2008,Complice,Miodio,Didn't qualify,,#19 in semi-final 1
Slovakia,2012,Don't Close Your Eyes,Max Jason Mai,Didn't qualify,,#18 in semi-final 2
Slovakia,2011,I'm Still Alive,TWiiNS,Didn't qualify,,#13 in semi-final 2
Slovakia,2010,Horehronie,Kristina Pelakova,Didn't qualify,,#16 in semi-final 1
Slovakia,2009,Leť Tmou,Kamil Mikulčík & Nela Pocisková,Didn't qualify,,#18 in semi-final 2
Slovakia,1998,Modlitba,Katarína Hasprová,21,8,
Slovakia,1996,Kým Nás Máš,Marcel Palonder,18,19,#17 in qualification
Slovakia,1994,Nekonečná pieseň,Martin Ďurinda & Tublatanka,19,15,
Slovakia,1993,Amnestia Na Neveru,Elán,Didn't qualify,,#4 in qualification
Sweden,2023,–,,–,–,semi-final
Sweden,2022,Hold Me Closer,Cornelia Jakobs,4,438,#1 in semi-final 2
Sweden,2021,Voices,Tusse,14,109,#7 in semi-final 1
Sweden,2020,Move,The Mamas,,,cancelled
Sweden,2019,Too Late for Love,John Lundvik,5,334,#3 in semi-final 2
Sweden,2018,Dance You Off,Benjamin Ingrosso,7,274,#2 in semi-final 2
Sweden,2017,I Can't Go On,Robin Bengtsson,5,344,#3 in semi-final 1
Sweden,2016,If I Were Sorry,Frans,5,261,winner 2015
Sweden,2015,Heroes,Måns Zelmerlöw,#1,365,#1 in semi-final 2
Sweden,2014,Undo,Sanna Nielsen,3,218,#2 in semi-final 1
Sweden,2013,You,Robin Stjernberg,14,62,winner 2012
Sweden,2012,Euphoria,Loreen,#1,372,#1 in semi-final 2
Sweden,2011,Popular,Eric Saade,3,185,#1 in semi-final 2
Sweden,2010,This Is My Life,Anna Bergendahl,Didn't qualify,,#11 in semi-final 2
Sweden,2009,La Voix,Malena Ernman,21,33,#4 in semi-final 1
Sweden,2008,Hero,Charlotte Perrelli,18,47,#12 in semi-final 2
Sweden,2007,The Worrying Kind,The Ark,18,51,Top-10 2006
Sweden,2006,Invincible,Carola,5,170,#4 in semi-final
Sweden,2005,Las Vegas,Martin Stenmarck,19,30,Top-10 2004
Sweden,2004,It Hurts,Lena Philipsson,5,170,Top-10 2003
Sweden,2003,Give Me Your Love,Fame,5,107,
Sweden,2002,Never Let It Go,Afro-dite,8,72,
Sweden,2001,Listen To Your Heartbeat,Friends,5,100,
Sweden,2000,When Spirits Are Calling My Name,Roger Pontare,7,88,
Sweden,1999,Take Me To Your Heaven,Charlotte Nilsson,#1,163,
Sweden,1998,Kärleken är,Jill Johnson,10,53,
Sweden,1997,Bara Hon älskar Mig,Blond,14,36,
Sweden,1996,Den Vilda,One More Time,3,100,#1 in qualification
Sweden,1995,Se på mig,Jan Johansen,3,100,
Sweden,1994,Stjärnorna,Marie Bergman & Roger Pontare,13,48,
Sweden,1993,Eloïse,Arvingarna,7,89,
Sweden,1992,I Morgon är En Annan Dag,Christer Björkman,22,9,
Sweden,1991,Fångad Av En Stormvind,Carola,#1,146,
Sweden,1990,Som En Vind,Edin-Ådahl,16,24,
Sweden,1989,En Dag,Tommy Nilsson,4,110,
Sweden,1988,Stad I Ljus,Tommy Körberg,12,52,
Sweden,1987,Boogaloo,Lotta Engberg,12,50,
Sweden,1986,E' De' Det Här Du Kallar Kärlek,Lasse Holm & Monica Törnell,5,78,
Sweden,1985,Bra Vibrationer,Kikki Danielsson,3,103,
Sweden,1984,Diggi-loo Diggy-ley,Herrey's,#1,145,
Sweden,1983,Främling,Carola Häggkvist,3,126,
Sweden,1982,Dag Efter Dag,Chips,8,67,
Sweden,1981,Fångad I En Dröm,Björn Skifs,10,50,
Sweden,1980,Just Nu!,Tomas Ledin,10,47,
Sweden,1979,Satellit,Ted Gärdestad,17,8,
Sweden,1978,Det Blir Alltid Värre Framåt Natten,Björn Skifs,14,26,
Sweden,1977,Beatles,Forbes,18,2,
Sweden,1975,"Jennie, Jennie",Lars Berghagen and the Dolls,8,72,
Sweden,1974,Waterloo,ABBA,#1,24,
Sweden,1973,You're Summer,The Nova and The Dolls,5,94,
Sweden,1972,Härliga Sommardag,Family Four,13,75,
Sweden,1971,Vita Vidder,Family Four,6,85,
Sweden,1969,"Judy, Min Vän",Tommy Körberg,9,8,
Sweden,1968,"Det Börjar Verka Kärlek, Banne Mej",Claes-Göran Hederström,5,15,
Sweden,1967,Som En Dröm,Östen Warnerbring,8,7,
Sweden,1966,Nygammal Vals,Lill Lindfors & Svante Thuresson,2,16,
Sweden,1965,Absent Friend,Ingvar Wixell,10,6,
Sweden,1963,En Gång I Stockholm,Monica Zetterlund,13,0,
Sweden,1962,Sol Och Vår,Inger Berggren,7,4,
Sweden,1961,"April, April",Lill-Babs,14,2,
Sweden,1960,Alla Andra Får Varann,Siw Malmkvist,10,4,
Sweden,1959,Augustin,Brita Borg,9,4,
Sweden,1958,Lilla Stjärna,Alice Babs,4,10,
Slovenia,2023,–,,–,–,semi-final
Slovenia,2022,Disko,LPS,Didn't qualify,,#17 in semi-final 1
Slovenia,2021,Amen,Ana Soklič,Didn't qualify,,#13 in semi-final 1
Slovenia,2020,Voda,Ana Soklič,,,cancelled
Slovenia,2019,Sebi,Zala Kralj & Gašper Šantl,15,105,#6 in semi-final 1
Slovenia,2018,"Hvala, ne!",Lea Sirk,22,64,#8 in semi-final 2
Slovenia,2017,On My Way,Omar Naber,Didn't qualify,,#17 in semi-final 1
Slovenia,2016,Blue and Red,ManuElla,Didn't qualify,,#14 in semi-final 2
Slovenia,2015,Here for You,Maraaya,14,39,#5 in semi-final 2
Slovenia,2014,Round and Round,Tinkara Kovač,25,9,#10 in semi-final 2
Slovenia,2013,Straight Into Love,Hannah,Didn't qualify,,#16 in semi-final 1
Slovenia,2012,Verjamem,Eva Boto,Didn't qualify,,#17 in semi-final 2
Slovenia,2011,No One,Maja Keuc,13,96,#3 in semi-final 2
Slovenia,2010,Narodnozabavni Rock,Ansambel Žlindra & Kalamari,Didn't qualify,,#16 in semi-final 2
Slovenia,2009,Love Symphony,Quartissimo feat. Martina,Didn't qualify,,#16 in semi-final 2
Slovenia,2008,Vrag Naj Vzame,Rebeka Dremelj,Didn't qualify,,#11 in semi-final 1
Slovenia,2007,Cvet Z Juga,Alenka Gotar,15,66,#7 in semi-final
Slovenia,2006,Mr. Nobody,Anžej Dežan,Didn't qualify,,#16 in semi-final
Slovenia,2005,Stop,Omar Naber,Didn't qualify,,#12 in semi-final
Slovenia,2004,Stay Forever,Platin,Didn't qualify,,#21 in semi-final
Slovenia,2003,Nanana,Karmen,23,7,
Slovenia,2002,Samo Ljubezen,Sestre,13,33,
Slovenia,2001,Energy,Nuša Derenda,7,70,
Slovenia,1999,For A Thousand Years,Darja Svajger,11,50,
Slovenia,1998,Naj Bogovi Slišijo,Vili Resnik,18,17,
Slovenia,1997,Zbudi Se,Tanja Ribič,10,60,
Slovenia,1996,Dan najlepših sanj,Regina,21,16,#19 in qualification
Slovenia,1995,Prisluhni Mi,Darja Svajger,7,84,
Slovenia,1993,Tih deževen dan,1X Band,22,9,#1 in qualification
Spain,2023,–,,–,–,Big 5
Spain,2022,SloMo,Chanel,3,459,Big 5
Spain,2021,Voy A Quedarme,Blas Cantó,24,6,Big 5
Spain,2020,Universo,Blas Cantó,,,cancelled
Spain,2019,La Venda,Miki,22,54,Big 5
Spain,2018,Tu Canción,Amaia & Alfred,23,61,Big 5
Spain,2017,Do It for Your Lover,Manel Navarro,26,5,Big 5
Spain,2016,Say Yay!,Barei,22,77,Big 5
Spain,2015,Amanecer,Edurne,21,15,Big 5
Spain,2014,Dancing in the rain,Ruth Lorenzo,10,74,Big 5
Spain,2013,Contigo Hasta El Final,ESDM,25,8,Big 5
Spain,2012,Quédate Conmigo,Pastora Soler,10,97,Big 5
Spain,2011,Que Me Quiten Lo Bailao,Lucía Pérez,23,50,Big 5
Spain,2010,Algo Pequeñito,Daniel Diges,15,68,Big 4
Spain,2009,La Noche Es Para Mí,Soraya,24,23,Big 4
Spain,2008,Baila El Chiki Chiki,Rodolfo Chikilicuatre,16,55,Big 4
Spain,2007,I Love You Mi Vida,NASH,20,43,Big 4
Spain,2006,Bloody Mary,Las Ketchup,21,18,Big 4
Spain,2005,Brujería,Son de sol,21,28,Big 4
Spain,2004,Para Llenarme De Ti,Ramón,10,87,Big 4
Spain,2003,Dime,Beth,8,81,
Spain,2002,Europe's Living A Celebration,Rosa,7,81,
Spain,2001,Dile Que La Quiero,David Civera,6,76,
Spain,2000,Colgado De Un Sueño,Serafín Zubiri,18,18,
Spain,1999,No Quiero Escuchar,Lydia,23,1,
Spain,1998,¿Qué Voy A Hacer Sin Ti?,Mikel Herzog,16,21,
Spain,1997,Sin Rencor,Marcos Llunas,6,96,
Spain,1996,"¡Ay, Qué Deseo!",Antonio Carbonell,20,17,#14 in qualification
Spain,1995,Vuelve Conmigo,Anabel Conde,2,119,
Spain,1994,Ella No Es Ella,Alejandro Abad,18,17,
Spain,1993,Hombres,Eva Santamaria,11,58,
Spain,1992,Todo Esto Es La Música,Serafin,14,37,
Spain,1991,Bailar Pegados,Sergio Dalma,4,119,
Spain,1990,Bandido,Azúcar Moreno,5,96,
Spain,1989,Nacida Para Amar,Nina,6,88,
Spain,1988,La Chica Que Yo Quiero (made In Spain),La Década,11,58,
Spain,1987,No Estás Solo,Patricia Kraus,19,10,
Spain,1986,Valentino,Cadillac,10,51,
Spain,1985,La Fiesta Terminó,Paloma San Basilio,14,36,
Spain,1984,"Lady, Lady",Bravo,3,106,
Spain,1983,¿Quién Maneja Mi Barca?,Remedios Amaya,19,0,
Spain,1982,Él,Lucía,10,52,
Spain,1981,Y Solo Tú,Bacchelli,14,38,
Spain,1980,Quédate Esta Noche,Trigo Limpio,12,38,
Spain,1979,Su Canción,Betty Missiego,2,116,
Spain,1978,Bailemos Un Vals,José Vélez,9,65,
Spain,1977,Enseñame A Cantar,Micky,9,52,
Spain,1976,Sobran Las Palabras,Braulio,16,11,
Spain,1975,Tú Volverás,Sergio & Estíbaliz,10,53,
Spain,1974,Canta Y Se Feliz,Peret,9,10,
Spain,1973,Eres Tú,Mocedades,2,125,
Spain,1972,Amanece,Jaime Morey,10,83,
Spain,1971,En Un Mundo Nuevo,Karina,2,116,
Spain,1970,Gwendolyne,Julio Iglesias,4,8,
Spain,1969,Vivo Cantando,Salomé,#1,18,
Spain,1968,"La, La, La...",Massiel,#1,29,
Spain,1967,Hablemos Del Amor,Raphael,6,9,
Spain,1966,Yo Soy Aquél,Raphael,7,9,
Spain,1965,"Qué Bueno, Qué Bueno",Conchita Bautista,15,0,
Spain,1964,Caracola,"Tim, Nelly and Tony",12,1,
Spain,1963,Algo Prodigioso,José Guardiola,12,2,
Spain,1962,Llámame,Victor Balaguer,13,0,
Spain,1961,Estando Contigo,Conchita Bautista,9,8,
Serbia,2023,–,,–,–,semi-final
Serbia,2022,In Corpore Sano,Konstrakta,5,312,#3 in semi-final 2
Serbia,2021,Loco Loco,Hurricane,15,102,#8 in semi-final 2
Serbia,2020,Hasta la vista,Hurricane,,,cancelled
Serbia,2019,Kruna,Nevena Božović,18,89,#7 in semi-final 1
Serbia,2018,Nova Deca,Sanja Ilić & Balkanika,19,113,#9 in semi-final 2
Serbia,2017,In Too Deep,Tijana Bogićević,Didn't qualify,,#11 in semi-final 2
Serbia,2016,Goodbye (Shelter),Sanja Vučić ZAA,18,115,#10 in semi-final 2
Serbia,2015,Beauty Never Lies,Bojana Stamenov,10,53,#9 in semi-final 1
Serbia,2013,Ljubav Je Svuda,Moje 3,Didn't qualify,,#11 in semi-final 1
Serbia,2012,Nije Ljubav Stvar,Željko Joksimović,3,214,#2 in semi-final 2
Serbia,2011,Čaroban,Nina,14,85,#8 in semi-final 1
Serbia,2010,Ovo Je Balkan,Milan Stanković,13,72,#5 in semi-final 1
Serbia,2009,Cipela,Marko Kon & Milaan,Didn't qualify,,#10 in semi-final 2
Serbia,2008,Oro,Jelena Tomašević feat. Bora Dugic,6,160,winner 2007
Serbia,2007,Molitva,Marija Šerifović,#1,268,#1 in semi-final
Yugoslavia,1992,Ljubim Te Pesmama,Extra Nena,13,44,
Yugoslavia,1991,Brazil,Baby Doll,21,1,
Yugoslavia,1990,Hajde Da Ludujemo,Tajci,7,81,
Yugoslavia,1989,Rock Me,Riva,#1,137,
Yugoslavia,1988,Mangup,Srebrna Krila,6,87,
Yugoslavia,1987,Ja Sam Za Ples,Novi Fosili,4,92,
Yugoslavia,1986,Željo Moja,Doris Dragović,11,49,
Yugoslavia,1984,Ciao Amore,Vlado and Isolda,18,26,
